AVAILABLE,VERSION,NAME,ID,ALT_EXE,ALT_RUN_MODE,ROM,VIDEOS_PATH,WEBLINK_URL,WEBLINK2_URL
YES,latest,Godzilla vs Kong,Godzilla vs Kong,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",160,None,None,None
YES,latest,Grimm Tales,Grimm Tales,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",155,None,None,None
YES,latest,Homeworld Journey to Hiigara,Homeworld Journey to Hiigara,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",150,None,None,None
YES,latest,Hurricane,Hurricane,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",126,None,None,None
YES,latest,Indiana Jones,Indiana Jones The Pinball Adventure,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",133,None,None,None
YES,latest,Jaws,Jaws,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",95,None,None,None
YES,latest,Junk Yard,JunkYard,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",110,None,None,None
YES,latest,Jurassic Park 1,Jurassic Park 1,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",100,None,None,None
YES,latest,Jurassic Park 2,Jurassic Park Mayhem,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",102,None,None,None
YES,latest,Jurassic World,Jurassic World Pinball,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",101,None,None,None
YES,latest,King Kong,Kong Pinball,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",153,None,None,None
YES,latest,Knight Rider,Knight Rider,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",177,None,None,None
YES,latest,Kung Fu Panda,Kung Fu Panda,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",139,None,None,None
YES,latest,Machine Bride of Pin-Bot,The Machine Bride of Pin-Bot,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",148,None,None,None
YES,latest,Marvel Ant-Man,Marvels Ant-Man,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",79,None,None,None
YES,latest,Marvel Avengers Ep 1 The Avengers,Marvels The Avengers,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",17,None,None,None
YES,latest,Marvel Avengers Ep 2 Age of Ultron,Marvels Avengers Age of Ultron,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",78,None,None,None
YES,latest,Marvel Avengers Ep 3 The Infinity Gauntlet,The Infinity Gauntlet,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",60,None,None,None
YES,latest,Marvel Blade,Blade,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",45,None,None,None
YES,latest,Marvel Captain America,Captain America,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",48,None,None,None
YES,latest,Marvel Civil War,Civil War,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",1,None,None,None
YES,latest,Marvel Deadpool,Deadpool,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",22,None,None,None
YES,latest,Marvel Doctor Strange,Doctor Strange,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",30,None,None,None
YES,latest,Marvel Fantastic Four,Fantastic Four,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",38,None,None,None
YES,latest,Marvel Fear It Self,Fear Itself,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",5,None,None,None
YES,latest,Marvel Ghost Rider,Ghost Rider,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",21,None,None,None
YES,latest,Marvel Guardians of the galaxy,Marvels Guardians of the Galaxy,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",50,None,None,None
YES,latest,Marvel Iron Man,Iron Man,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",65,None,None,None
YES,latest,Marvel Moon Knight,Moon Knight,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",49,None,None,None
YES,latest,Marvel Spider-Man,Spider-Man,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",46,None,None,None
YES,latest,Marvel Thor,Thor,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",7,None,None,None
YES,latest,Marvel Venom,Venom,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",73,None,None,None
YES,latest,Marvel Wolverine,Wolverine,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",71,None,None,None
YES,latest,Marvel Women of Power A-Force,Marvels Women of Power A-Force,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",93,None,None,None
YES,latest,Marvel Women of Power Champions,Marvels Women of Power Champions,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",94,None,None,None
YES,latest,Marvel World War Hulk,World War Hulk,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",56,None,None,None
YES,latest,Marvel X-Men,X-Men,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",59,None,None,None
YES,latest,Medieval Madness,Medieval Madness,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",109,None,None,None
YES,latest,Monster Bash,Monster Bash,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",130,None,None,None
YES,latest,My Little Pony,Hasbros MY LITTLE PONY,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",138,None,None,None
YES,latest,No Good Gofers,No Good Gofers,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",128,None,None,None
YES,latest,Pacific Rim,Pacific Rim,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",186,None,None,None
YES,latest,Party Zone,The Party Zone,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",120,None,None,None
YES,latest,Pasha,Pasha,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",23,None,None,None
YES,latest,Peanuts Snoopy,Peanuts Snoopy,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",146,None,None,None
YES,latest,Pinball Noir,Pinball Noir,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",123,None,None,None
YES,latest,Princess Bride,Princess Bride,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",184,None,None,None
YES,latest,Red and Teds Road Show,Red and Teds Road Show,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",125,None,None,None
YES,latest,Rome,Rome,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",31,None,None,None
YES,latest,Safe Cracker,Safe Cracker,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",122,None,None,None
YES,latest,Secrets of the Deep,Secrets of the Deep,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",66,None,None,None
YES,latest,Sky Pirates Treasures of the Clouds,Sky Pirates Treasures of the Clouds,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",113,None,None,None
YES,latest,Son of Zeus,Son of Zeus,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",80,None,None,None
YES,latest,Sorcerers Lair,Sorcerers Lair,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",33,None,None,None
YES,latest,South Park 1,South Park Butters Very Own,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",55,None,None,None
YES,latest,South Park 2,South Park Super Sweet,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",4,None,None,None
YES,latest,Space Station,Space Station,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",129,None,None,None
YES,latest,Star Trek 1,Star Trek 1,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",163,None,None,None
YES,latest,Star Trek 2,Star Trek Deep Space Nine,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",172,None,None,None
YES,latest,Star Trek 3,Star Trek Discovery,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",169,None,None,None
YES,latest,Star Trek 4,Star Trek Kelvin Timeline,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",166,None,None,None
YES,latest,Star Wars Ahch-To Island,Ahch-To Island,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",104,None,None,None
YES,latest,Star Wars Battle of Mimban,Battle of Mimban,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",107,None,None,None
YES,latest,Star Wars Boba Fett,Boba Fett,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",53,None,None,None
YES,latest,Star Wars Calrissian Chronicles,Calrissian Chronicles,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",106,None,None,None
YES,latest,Star Wars Classic Collectibles,Classic Collectibles,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",137,None,None,None
YES,latest,Star Wars Clone Wars,The Clone Wars,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",47,None,None,None
YES,latest,Star Wars Darth Vader,Darth Vader,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",28,None,None,None
YES,latest,Star Wars Droids,Droids,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",58,None,None,None
YES,latest,Star Wars Ep 4 A New Hope,Episode IV A New Hope,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",12,None,None,None
YES,latest,Star Wars Ep 5 The Empire Strikes Back,Episode V The Empire Strikes Back,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",43,None,None,None
YES,latest,Star Wars Ep 6 Return of the Jedi,Episode VI Return of the Jedi,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",24,None,None,None
YES,latest,Star Wars Ep 7 The Force Awakens,The Force Awakens,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",88,None,None,None
YES,latest,Star Wars Ep 8 The Last Jedi,The Last Jedi,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",103,None,None,None
YES,latest,Star Wars Han Solo,Han Solo,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",10,None,None,None
YES,latest,Star Wars Masters of the Force,Masters of the Force,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",2,None,None,None
YES,latest,Star Wars Might of the First Order,Might of the First Order,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",89,None,None,None
YES,latest,Star Wars Rebels,Star Wars Rebels,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",77,None,None,None
YES,latest,Star Wars Rogue One,Rogue One,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",98,None,None,None
YES,latest,Star Wars Solo,Solo,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",105,None,None,None
YES,latest,Star Wars Starfighter Assault,Starfighter Assault,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",6,None,None,None
YES,latest,Star Wars The Mandalorian,The Mandalorian,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",136,None,None,None
YES,latest,Super League Football,Super League Football,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",36,None,None,None
YES,latest,Swords of Fury,Swords of Fury,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",149,None,None,None
YES,latest,Tales of the Arabian Nights,Tales of the Arabian Nights,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",132,None,None,None
YES,latest,Terraforming Mars,Terraforming Mars,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",173,None,None,None
YES,latest,Theatre of Magic,Theatre of Magic,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",117,None,None,None
YES,latest,Tomb Raider Adventures,Tomb Raider Adventures,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",182,None,None,None
YES,latest,Tomb Raider Croft Manor,Tomb Raider Croft Manor,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",192,None,None,None
YES,latest,Trolls,Trolls,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",140,None,None,None
YES,latest,Twilight Zone,Twilight Zone,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",162,None,None,None
YES,latest,Verns Mysterious Island,Verns Mysterious Island,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",164,None,None,None
YES,latest,Whirlwind,Whirlwind,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",168,None,None,None
YES,latest,White Water,White Water,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",124,None,None,None
YES,latest,Wild West Rampage,Wild West Rampage,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",75,None,None,None
YES,latest,World Cup Soccer,World Cup Soccer,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",157,None,None,None
YES,latest,World War Z,World War Z Pinball,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",154,None,None,None
YES,latest,Wrath of the Elder Gods,Wrath of the Elder Gods,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",147,None,None,None
YES,latest,Xena,Xena Warrior Princess,None,"Classic,Hotseat2,Hotseat3,Hotseat4,Pro,Practice",167,None,None,None
